Entidad de Residencia,num_2000,tasa_2000,num_2001,tasa_2001,num_2002,tasa_2002,num_2003,tasa_2003,num_2004,tasa_2004,num_2005,tasa_2005,num_2006,tasa_2006,num_2007,tasa_2007,num_2008,tasa_2008,num_2009,tasa_2009,num_2010,tasa_2010,num_2011,tasa_2011,num_2012,tasa_2012,num_2013,tasa_2013,num_2014,tasa_2014,num_2015,tasa_2015
Nacional,3419,14.1,3563,14.3,3822,14.9,3861,14.7,4150,15.4,4205,15.2,4440,15.7,4581,15.8,4802,16.2,4893,16.1,5034,16.2,5206,16.3,5583,17.1,5405,16.3,5974,17.6,6252,18.0
Aguascalientes,36,15.6,31,13.0,37,15.0,40,15.8,42,16.1,50,18.6,37,13.4,49,17.2,69,23.5,50,16.6,45,14.5,59,18.5,69,21.1,55,16.4,66,19.2,71,20.2
Baja California,98,16.7,102,16.6,103,16.1,105,15.7,120,17.3,126,17.5,129,17.3,148,19.2,153,19.2,161,19.6,163,19.3,166,19.1,180,20.1,178,19.4,188,19.9,213,22.0
Baja California Sur,20,19.1,19,17.3,20,17.4,27,22.4,23,18.2,25,18.9,32,23.1,34,23.4,34,22.3,33,20.7,31,18.6,39,22.3,36,19.7,34,17.9,31,15.6,33,16.0
Campeche,10,6.3,13,7.9,16,9.4,15,8.5,20,10.9,22,11.6,30,15.3,13,6.4,19,9.1,26,12.1,26,11.7,22,9.6,21,8.9,25,10.3,17,6.8,29,11.4
Coahuila de Zaragoza,114,19.7,120,20.1,118,19.2,130,20.5,117,17.9,113,16.9,123,17.9,160,22.8,136,18.9,152,20.6,157,20.8,177,23.0,187,23.8,194,24.2,175,21.3,215,25.7
Colima,17,12.8,22,16.1,36,25.5,24,16.5,25,16.7,26,16.8,32,20.1,37,22.5,27,15.9,32,18.2,38,21.0,41,22.0,44,22.9,42,21.2,49,24.1,46,22.0
Chiapas,53,6.3,54,6.2,60,6.7,79,8.5,71,7.4,76,7.7,86,8.4,80,7.6,111,10.2,112,10.0,127,11.0,139,11.7,149,12.2,148,11.8,157,12.2,142,10.8
Chihuahua,152,20.9,140,18.6,156,20.1,172,21.5,171,20.7,175,20.7,193,22.2,191,21.4,225,24.6,210,22.5,187,19.6,233,23.9,206,20.7,202,20.0,308,29.9,261,24.8
Distrito Federal,575,22.2,567,21.5,574,21.5,602,22.2,575,20.9,626,22.5,611,21.8,623,22.0,659,23.0,664,23.0,669,23.0,683,23.3,668,22.7,571,19.3,715,24.0,739,24.7
Durango,48,14.0,49,13.9,46,12.8,44,11.9,48,12.7,56,14.5,64,16.2,71,17.5,65,15.6,53,12.4,61,14.0,65,14.6,83,18.2,69,14.8,85,17.9,92,18.9
Guanajuato,123,10.6,135,11.4,174,14.3,149,12.0,207,16.2,159,12.2,194,14.6,201,14.8,193,13.8,198,13.9,191,13.1,240,16.0,252,16.5,275,17.6,277,17.4,277,17.0
Guerrero,58,8.1,62,8.6,61,8.3,76,10.1,80,10.5,76,9.8,84,10.6,84,10.4,86,10.4,94,11.2,108,12.6,93,10.6,101,11.3,93,10.3,115,12.5,118,12.5
Hidalgo,61,10.7,68,11.6,61,10.2,74,12.0,72,11.4,82,12.7,79,11.9,70,10.3,75,10.7,91,12.7,77,10.5,100,13.2,107,13.8,104,13.1,98,12.1,119,14.3
Jalisco,290,18.6,280,17.5,330,20.1,336,19.9,349,20.2,393,22.2,425,23.4,345,18.5,386,20.2,377,19.2,407,20.2,456,22.1,468,22.2,476,22.1,480,21.8,495,22.0
México,368,11.8,455,14.1,476,14.3,461,13.3,535,15.0,514,13.9,518,13.6,544,13.9,597,14.7,570,13.7,615,14.3,619,14.0,654,14.4,597,12.8,712,14.9,743,15.2
Michoacán de Ocampo,126,13.1,132,13.4,141,14.0,124,12.1,128,12.2,127,11.9,164,15.1,160,14.4,174,15.3,209,18.0,191,16.1,181,15.0,207,16.8,170,13.6,209,16.4,215,16.5
Morelos,39,9.8,44,10.7,57,13.5,66,15.3,70,15.8,63,13.9,67,14.4,82,17.2,77,15.8,63,12.6,86,16.8,90,17.2,105,19.6,82,15.0,73,13.0,98,17.1
Nayarit,36,16.3,27,11.9,33,14.1,40,16.7,40,16.2,41,16.2,40,15.3,39,14.5,40,14.5,47,16.5,41,13.9,44,14.5,50,16.0,40,12.5,58,17.6,45,13.3
Nuevo León,214,21.8,187,18.4,235,22.3,186,17.1,212,18.9,239,20.7,237,19.9,261,21.4,291,23.2,278,21.6,300,22.7,274,20.2,302,21.8,318,22.4,372,25.6,386,26.0
Oaxaca,65,7.5,68,7.8,68,7.6,86,9.5,85,9.2,79,8.4,93,9.7,94,9.7,103,10.4,73,7.2,88,8.6,88,8.4,89,8.4,97,9.0,110,10.0,125,11.1
Puebla,117,9.6,146,11.7,148,11.6,144,11.0,141,10.5,136,9.9,155,11.0,202,14.0,181,12.2,194,12.8,174,11.2,181,11.4,208,12.8,227,13.7,222,13.1,217,12.6
Querétaro de Arteaga,35,9.9,48,13.2,40,10.6,49,12.5,63,15.5,64,15.3,74,17.1,59,13.2,56,12.2,85,17.9,78,15.9,71,14.0,89,17.1,90,16.8,106,19.2,80,14.1
Quintana Roo,14,7.4,12,6.0,22,10.3,14,6.2,11,4.6,10,3.9,22,8.1,28,9.8,24,8.0,22,6.9,24,7.2,25,7.1,35,9.5,41,10.7,39,9.7,59,14.1
San Luis Potosí,56,10.1,73,12.8,69,11.9,53,8.9,66,10.9,71,11.5,94,14.9,101,15.6,109,16.5,104,15.4,112,16.2,114,16.2,107,14.8,97,13.2,119,15.9,114,14.9
Sinaloa,93,15.4,77,12.4,100,15.6,111,16.9,119,17.7,129,18.7,127,18.0,114,15.8,114,15.4,147,19.4,137,17.7,120,15.2,166,20.6,160,19.5,148,17.7,189,22.2
Sonora,109,19.8,103,18.2,103,17.6,110,18.2,134,21.6,129,20.2,119,18.2,134,19.9,169,24.5,134,18.9,164,22.6,147,19.8,173,22.7,176,22.6,180,22.6,233,28.6
Tabasco,39,8.9,54,12.0,47,10.1,38,7.9,57,11.5,59,11.5,47,8.9,48,8.8,67,12.0,66,11.5,81,13.7,70,11.6,78,12.6,77,12.1,80,12.3,98,14.7
Tamaulipas,122,17.5,141,19.6,149,20.0,129,16.7,160,20.1,163,19.9,168,20.0,169,19.6,144,16.2,173,19.0,180,19.3,178,18.7,178,18.3,207,20.9,208,20.5,214,20.7
Tlaxcala,15,6.4,27,11.2,30,12.0,27,10.5,29,10.9,25,9.1,29,10.3,40,13.8,36,12.1,40,13.0,34,10.8,33,10.2,42,12.7,45,13.2,42,12.0,42,11.7
Veracruz Llave,220,12.2,215,11.7,230,12.2,245,12.8,268,13.7,258,13.0,280,13.8,292,14.2,284,13.5,320,14.9,321,14.7,331,14.9,383,16.9,353,15.3,369,15.7,375,15.7
Yucatán,52,12.6,45,10.6,43,9.8,49,10.9,67,14.4,44,9.2,48,9.8,46,9.1,37,7.2,63,11.9,59,10.9,74,13.3,71,12.4,80,13.7,88,14.7,81,13.2
Zacatecas,44,13.5,47,14.2,39,11.5,56,16.2,45,12.8,49,13.7,39,10.7,62,16.6,61,15.9,52,13.3,62,15.5,53,13.0,75,18.0,82,19.3,78,18.0,88,20.0
